Class,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
0,0.338928836,0.9837487,0.773768339,0.83813031,0.369658968,0.487951294,0.154658098,0.288741434,0.093006452,0.718683735,0.754347634,0.585859156,0.405259395,0.796040934,0.286910748,0.250342782,0.072546329,0.731219338,0.072234543,0.071884561,0.942234578
1,0.346847741,0.866864834,0.874777994,0.503603274,0.029435467,0.980243707,0.362480965,0.274654446,0.41991753,0.164139659,0.314106293,0.078003527,0.11747735,0.615696826,0.52421197,0.35458975,0.303320869,0.688136271,0.0850283,0.288508474,0.103159156
1,0.688073461,0.141295983,0.042540839,0.18505899,0.676489906,0.273518504,0.394717386,0.497597569,0.344290105,0.306240748,0.387442997,0.594445467,0.863571003,0.114549373,0.930799094,0.833786759,0.776872152,0.203271693,0.493695215,0.77357514,0.394874885
0,0.937398319,0.469715342,0.247831158,0.346909752,0.474285194,0.417336065,0.335164692,1,0.203570268,0.017320632,0.016122828,0.30773051,0.22432712,0.470515516,0.26640472,0.419773769,0.705315114,0.363203818,0.84510557,0.819535813,0.072859164
1,0.876539596,0.391149894,0.024384302,0.688758752,0.319087215,0.73802904,0.131958536,0.670573502,0.123928588,0.625490225,0.615994646,0.17772738,0.049566783,0.480327366,0.190323451,0.106112576,0.244875184,0.415930833,0.730157162,0.1370711,0.79901748
1,0.705118328,0.433517984,0.807604158,0.595438536,0.810355827,0.510913689,0.525846869,0.756005362,0.611725096,0.709806685,0.515719803,0.422267461,0.872488543,0.388190937,0.608918644,0.793061481,0.866035655,0.576595961,0.467835546,0.929066161,0.797425251
0,0.200685872,0.391159261,0.794325282,0.687230442,0.976312128,0.216373368,0.162853301,0.108129259,0.379143878,0.710115564,0.612395516,0.221562211,0.964151691,0.388665053,0.963948363,0.959823153,0.767934479,0.506633336,0.406629545,0.631810579,0.786422775
0,0.002355549,0.306485109,0.554345661,0.890338187,0.163386092,0.851134074,0.958288465,0.106214091,0.998302653,0.598355271,0.579872249,0.817657952,0.246538841,0.786814595,0.292351695,0.473000001,0.09972581,0.492266111,0.121679165,0.081993837,0.253198438
0,0.796596382,0.616898724,0.673413679,0.881937905,0.957495162,0.811480389,0.297313262,0.725938027,0.68116254,0.961346202,0.885615445,0.068496088,0.830541403,0.866627284,0.745399035,0.659764274,0.846359377,0.66906958,0.728369508,0.511680691,0.792502829
1,0.284406646,0.485309017,0.644152868,0.686665817,0.310399228,0.742079762,0.568551654,0.144858036,0.542828079,0.936574253,0.925971741,0.708852575,0.363734452,0.845788992,0.145888904,0.155851248,0.121508461,0.741580457,0.14279393,0.200791241,0.926149952
0,0.14460394,0.379610228,0.690023543,0.406883444,0.696938478,0.271263475,0.651707658,0.396299933,0.746072143,0.16599806,0.191581262,0.666611648,0.847065676,0.32226617,0.940272461,0.920688849,0.911231002,0.469248013,0.387964538,0.961281612,0.202028651
1,0.617447151,0.373959252,0.085139501,0.402524499,0.314583222,0.386742362,0.044356757,0.658035679,0.116386912,0.168168768,0.193717552,0.328692475,0.35121112,0.478364532,0.379048504,0.183849319,0.186790242,0.116741723,0.920426698,0.124272618,0.018148411
0,0.898828001,0.488457349,0.827993681,0.59265164,0.719743473,0.060519578,0.243609356,0.907386061,0.607365145,0.123893005,0.181576287,0.214671401,0.512615913,0.051125008,0.670774088,0.547902724,0.651872354,0.542278779,0.971536341,0.819535813,0.6187575
1,0.14088246,0.225782035,0.205938113,0.690013209,0.675908421,0.47812333,0.334994625,0.106214091,0.323094461,0.286875743,0.145236997,0.345770106,0.246538841,0.691552046,0.349046882,0.145843159,0.5258541,0.201181461,0.016822357,0.41774095,0.178096603
1,0.931108028,0.638015488,0.595789207,0.907077552,0.978288016,0.5198481,0.178708208,0.907386061,0.1431192,0.716737208,0.962272578,0.792490787,0.475269444,0.929574496,0.329481574,0.764599788,0.983893469,0.736119766,0.686113421,0.991750768,0.670791273
1,0.958265026,0.921344271,0.402586933,0.994812335,0.012639601,0.707166647,0.276097044,0.727547648,0.203109035,0.966442778,0.955059161,0.607755015,0.127690534,0.950022992,0.035269636,0.024543778,0.000125731,0.216059834,0.012547138,0.047789095,0.883211597
0,0.339609379,0.429391905,0.789710736,0.698043134,0.247866116,0.463543337,0.413400486,0.438810657,0.414733297,0.198877231,0.108814721,0.440846164,0.749538116,0.56859066,0.709721201,0.519710647,0.218725182,0.583550976,0.556441771,0.288338789,0.183669192
0,0.30801731,0.840653517,0.947497016,0.951756442,0.799816052,0.809011782,0.915652766,0.255206773,0.843466804,0.766293149,0.990289497,0.775172744,0.2316666,0.937172812,0.112940734,0.049131318,0.471233237,0.90584683,0.155875482,0.598090335,0.974203305
0,0.489395638,0.081049804,0.14348104,0.434885348,0.567721693,0.013521301,0.366424501,0.631758651,0.474424492,0.345231177,0.195446578,0.585859156,0.60118752,0.400997394,0.614967828,0.73662812,0.471552284,0.034324479,0.946435954,0.475285031,0.113785723
0,0.370049135,0.750939166,0.574728454,0.201694293,0.181252162,0.04723615,0.473629561,0.623445128,0.541542372,0.479361212,0.661850566,0.501913452,0.552641057,0.095536523,0.388269578,0.73662812,0.361063517,0.699999202,0.622295482,0.664482597,0.548989963
0,0.664385602,0.398511127,0.667434225,0.48527923,0.554263405,0.227139451,0.8205677,0.615188439,0.637542885,0.71948966,0.6582585,0.505259069,0.422584828,0.376486977,0.149261755,0.128072472,0.213682792,0.654258977,0.861828182,0.202074302,0.523149776
0,0.477650746,0.234072553,0.282408458,0.967595236,0.190681954,0.973354726,0.276097044,0.616097244,0.234987428,0.289761399,0.383071968,0.244925768,0.049589986,0.982726299,0.035327706,0.037204801,0.067140059,0.550369612,0.708896336,0.035777461,0.21603775
1,0.586892874,0.778292675,0.512723714,0.586342682,0.508133396,0.578609279,0.369517064,0.670580601,0.243819474,0.321135423,0.466952699,0.490037446,0.565228716,0.517912724,0.544514207,0.58366617,0.672065731,0.764685901,0.687436482,0.611591203,0.483704433
0,0.477653421,0.180935634,0.000190665,0.852782194,0.222151567,0.752890484,0.962427828,0.299322883,0.880479718,0.084661307,0.041696945,0.869856434,0.748133223,0.876185516,0.695817892,0.673533825,0.072546329,0.041488706,0.38497296,0.077402211,0.145708111
0,0.07822366,0.330891396,0.769526282,0.938585349,0.201153292,0.619377799,0.840501327,0.408211723,0.903205512,0.682204761,0.672159396,0.897374545,0.22432712,0.942060159,0.120969301,0.298243271,0.079480913,0.706293711,0.033631979,0.024299046,0.702706016
1,0.156838121,0.739717761,0.950491746,0.967595236,0.005191161,0.849894325,0.686629234,0.248613883,0.790062284,0.218288067,0.309961753,0.573793762,0.179464442,0.927337523,0.179787732,0.028887198,0.018481355,0.784552827,0.523516423,0.048836527,0.167701732
0,0.336989958,0.564463371,0.491082437,0.940741238,0.285700759,0.874161154,0.205066705,0.41373076,0.17439798,0.076489933,0.002055915,0.1727635,0.167564248,0.972446077,0.066504038,0.507698741,0.275066662,0.7233621,0.502269546,0.607800764,0.007984294
0,0.615446369,0.685409382,0.868673698,0.803962849,0.268382676,0.878296024,0.560839003,0.503895485,0.727718636,0.16160146,0.092580591,0.25183472,0.879651358,0.783162259,0.573281589,0.719886996,0.257969072,0.873094075,0.625903554,0.321687002,0.0569752
1,0.220263426,0.947489868,0.357980454,0.702193221,0.148640639,0.796198116,0.628388052,0.463810927,0.409972359,0.076607508,0.04427995,0.52907267,0.599509163,0.671401355,0.242944346,0.519710647,0.153208128,0.814977598,0.523611413,0.548455916,0.123991779
0,0.157330872,0.424348445,0.433852874,0.455935949,0.40463257,0.176157875,0.25274511,0.326674214,0.635628424,0.51465689,0.666150204,0.33913091,0.471130833,0.368568016,0.276215078,0.529314433,0.204873341,0.481714436,0.512496163,0.466083597,0.762486509
0,0.831128508,0.270163895,0.143340761,0.204151175,0.285429353,0.300946854,0.172104643,0.898407568,0.007781544,0.189253124,0.3220382,0.125126662,0.828514648,0.236231247,0.841758343,0.826083891,0.370823224,0.32365862,0.780274182,0.416261127,0.415165827
0,0.305969766,0.991827741,0.951687329,0.311693662,0.776741415,0.568315666,0.915662773,0.312426026,0.938017955,0.791619104,0.853413539,0.877442929,0.54749007,0.266948012,0.819434298,0.851624697,0.982440919,0.93911167,0.205051556,0.984020462,0.886270819
1,0.733278302,0.391149894,0.69660039,0.50158125,0.652265426,0.615921259,0.058945059,0.971735549,0.514462469,0.894158077,0.26644693,0.102487889,0.284501796,0.607877816,0.228220918,0.512008664,0.656634655,0.450475739,0.90431402,0.623596309,0.175898474
1,0.427641252,0.332693227,0.197427094,0.926107246,0.675908421,0.933022009,0.456531655,0.156847215,0.332203146,0.05344427,0.010199033,0.763485328,0.051156492,0.964774571,0.065576439,0.043864774,0.790470702,0.49152635,0.147574582,0.838268975,0.114785317
1,0.58058499,0.259020944,0.536728709,0.520781962,0.293588857,0.013671361,0.235667868,0.443431318,0.317297556,0.159536029,0.543441297,0.262459906,0.952526899,0.558851493,0.413405463,0.410002823,0.316995291,0.573682047,0.627564028,0.267715502,0.742758187
0,0.146947751,0.992102692,0.854997509,0.735624098,0.512083808,0.392431687,0.872901619,0.245449754,0.89091339,0.626036993,0.837155682,0.889281997,0.002041209,0.890166194,0.034444933,0.039988455,0.548125715,0.888359367,0.292870538,0.700833456,0.932748983
1,0.927555439,0.718293147,0.719591079,0.007688924,0.552004621,0.14479619,0.630444954,0.920350651,0.738815488,0.978827967,0.994316284,0.793970296,0.715850637,0.109913624,0.456717464,0.20081221,0.361324311,0.517013302,0.813770539,0.224214554,0.863728374
1,0.523136577,0.6279571,0.560993792,0.362676264,0.009256168,0.905774475,0.831466569,0.645480971,0.824706158,0.538789125,0.644581621,0.972402651,0.260507324,0.577248617,0.06552126,0.464761288,0.02419116,0.900181988,0.65831857,0.235759873,0.375527421
0,0.338928836,0.855255203,0.513782458,0.371987753,0.475919188,0.699349585,0.345633195,0.309339029,0.306587377,0.316825299,0.550451089,0.860138929,0.950344427,0.374623256,0.887405241,0.925028607,0.403873048,0.518029713,0.136068473,0.239748294,0.257876904
1,0.690569149,0.185676412,0.123990294,0.162562615,0.556905272,0.175507954,0.396653945,0.76760589,0.197280347,0.44919276,0.495177327,0.433387874,0.55972714,0.125452873,0.487845017,0.791598773,0.400650115,0.169949237,0.77615897,0.333343798,0.427142145
1,0.715195421,0.945489249,0.458170143,0.313518405,0.789345467,0.25859212,0.351696802,0.653001466,0.255315895,0.08815023,0.28062599,0.873654341,0.653438195,0.292102784,0.548421487,0.153822293,0.290927004,0.590110855,0.203829102,0.06582071,0.90229071
1,0.060368231,0.237906978,0.29504258,0.796071444,0.18644608,0.795767593,0.124754151,0.459589813,0.1431192,0.05344427,0.044298209,0.177719077,0.463165268,0.879395342,0.231984384,0.219719324,0.02419116,0.415390749,0.430761057,0.108523476,0.056068438
0,0.554415113,0.866864834,0.310220887,0.635438097,0.674554968,0.721560139,0.552280028,0.181106769,0.256276475,0.350599448,0.601972819,0.742666669,0.901474455,0.731604465,0.727915115,0.591908727,0.597507243,0.681282451,0.564029144,0.616339121,0.363272883
0,0.798768864,0.250221574,0.444900122,0.13373365,0.747409933,0.423871192,0.026804042,0.987258853,0.382942553,0.76428793,0.270833516,0.003788357,0.861604414,0.36468869,0.915616688,0.979591953,0.71739196,0.446038138,0.949684414,0.815401304,0.115367095
0,0.021581338,0.983763189,0.981396459,0.921485003,0.287284395,0.788062609,0.116738666,0.046948197,0.158592028,0.808092175,0.954086725,0.232476962,0.168691564,0.890166194,0.118072379,0.047962662,0.104872823,0.980698144,0.029672659,0.152937011,0.686632004
1,0.467923843,0.946114283,0.975247991,0.96384821,0.73832766,0.678169615,0.288864871,0.387867896,0.178305434,0.797714173,0.837155682,0.117854237,0.748133223,0.908031642,0.712755076,0.737740279,0.322518282,1,0.277074047,0.156732987,0.750809196
1,0.441607201,0.439588361,0.54964615,0.351479884,0.341891536,0.333033183,0.698939077,0.413299584,0.738824327,0.411422042,0.346925123,0.398793436,0.607935986,0.24700684,0.605261088,0.675660217,0.209595761,0.510049356,0.468660436,0.226022581,0.240571785
1,0.934974239,0.096794158,0.034292993,0.004366456,0.89228122,0.087966763,0.021193556,0.938492674,0.00097271,0.218798084,0.200462356,0.125292645,0.903463553,0.076809167,0.984476558,0.988085334,0.753324376,0.010186221,0.832664946,0.754739837,0.39013575
1,0.156986551,0.499944524,0.657748875,0.769047305,0.176309808,0.658512146,0.71880261,0.307793004,0.828342962,0.691403742,0.338973084,0.780574408,0.665491443,0.727713352,0.76025351,0.826083891,0.395572809,0.557954024,0.270362793,0.551617631,0.323505114
0,0.954373659,0.096794158,0.015510859,0.012442863,0.226601228,0.21666001,0.016264764,0.877396953,0.008080893,0.006321444,0.01256883,0.038829998,0.179464442,0.112729286,0.188080037,0.11913571,0.170659435,0.028545718,0.626143359,0.120608696,0.137876145
0,0.31940592,0.552468128,0.429749517,0.896538634,0.1572169,0.737397444,0.568492388,0.196403555,0.382942553,0.720121511,0.811137938,0.486189153,0.2287205,0.79034882,0.046872169,0.176544103,0.115574452,0.61684548,0.301881261,0.226022581,0.809179268
